,RHM.DE,ORCL,ASTS,JMIA,CATX,URI,HDMG.DE,LUNR,HAG.DE,SPY,META,NNE,TSM,RGTI,CCJ,SLV,QBTS,CAT,DE,GOOGL,LDO.MI,BEAM,RKLB,OKLO,BTC-USD,SOUN,TCEHY,GLD,MSFT,IONQ,SOL-USD,HO.PA,NVDA,ETH-USD,AMPX,LLY,BA.L,NURO,AAPL,VKTX
2014-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,815.94,,,,,,,,,,,,,,,
2014-01-02 00:00:00,38.7145,32.9961,,,5.1,76.49,,,,150.284,54.71,,13.8764,,17.747,19.23,,69.5125,75.6228,27.7275,,,,,856.91,,,118.0,31.0601,,,,0.37402,,,41.2491,,,17.1571,
2014-01-03 00:00:00,39.2026,32.8049,,,5.0,77.16,,,,150.255,54.56,,13.7155,,17.5518,19.42,,69.474,75.9536,27.5252,,,,,884.26,,,119.29,30.8502,,,,0.36954,,,41.5542,,,16.7789,
2014-01-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,924.69,,,,,,,,,,,,,,,
2014-01-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1014.74,,,,,,,,,,,,,,,
2014-01-06 00:00:00,39.2292,32.6731,,,5.3,77.37,,,,149.814,57.2,,13.675,,17.3436,19.42,,68.5615,75.3279,27.8321,,,,,1012.65,,,119.5,30.1979,,,,0.37452,,,41.9008,,,16.8714,
2014-01-07 00:00:00,39.349,33.0039,,,5.5,77.78,,,,150.745,57.92,,13.6829,,17.5707,19.13,,68.7844,75.6615,28.3687,,,,,879.9,,,118.82,30.4332,,,,0.380563,,,41.6255,,,16.7504,
2014-01-08 00:00:00,39.2958,32.891,,,5.5,78.78,,,,150.765,58.23,,13.826,,17.6245,18.83,,68.9511,74.8512,28.4279,,,,,938.84,,,118.12,29.8861,,,,0.385742,,,41.5621,,,16.8575,
2014-01-09 00:00:00,38.8742,32.8336,,,5.6,78.26,,,,150.857,57.22,,13.5605,,17.5259,18.84,,69.3892,74.5503,28.1539,,,,,936.95,,,118.46,29.6948,,,,0.371425,,,42.0237,,,16.6414,
2014-01-10 00:00:00,39.3402,33.2328,,,5.6,79.15,,,,151.28,57.94,,13.675,,17.6923,19.38,,70.0077,75.2007,28.1524,,,,,957.76,,,120.26,30.1205,,,,0.370926,,,42.2268,,,16.5305,
2014-01-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1005.32,,,,,,,,,,,,,,,
2014-01-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,939.79,,,,,,,,,,,,,,,
2014-01-13 00:00:00,39.6109,32.9188,,,9.8,77.08,,,,149.239,55.91,,13.6829,,17.5259,19.68,,69.5293,74.9902,27.973,,,,,922.91,,,121.02,29.2356,,,,0.362217,,,42.3408,,,16.6178,
2014-01-14 00:00:00,39.4689,33.3229,,,8.2,78.82,,,,150.887,57.74,,14.062,,18.1465,19.42,,70.0462,75.1511,28.6313,,,,,919.28,,,119.89,29.9039,,,,0.373551,,,42.6428,,,16.9491,
2014-01-15 00:00:00,40.0946,33.4942,,,8.1,81.68,,,,151.711,57.6,,14.207,,18.7761,19.4,,71.4775,75.2365,28.6118,,,,,941.22,,,119.66,30.7243,,,,0.377567,,,43.4285,,,17.2887,
2014-01-16 00:00:00,41.0931,33.3873,,,8.3,82.01,,,,151.5,57.19,,14.6858,,19.3419,19.35,,71.6314,75.2613,28.8011,,,,,913.49,,,119.79,30.8337,,,,0.378766,,,44.966,,,17.1913,
2014-01-17 00:00:00,42.1004,33.3229,,,8.6,81.09,,,,150.857,56.3,,14.3788,,19.1576,19.51,,71.1895,74.8601,28.6591,,,,,894.16,,,120.93,30.4078,,,,0.377087,,,44.85,,,16.77,
2014-01-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,905.72,,,,,,,,,,,,,,,
2014-01-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,954.8,,,,,,,,,,,,,,,
2014-01-20 00:00:00,41.985,,,,,,,,,,,,,,,,,,,,,,,,955.95,,,,,,,,,,,,,,,
2014-01-21 00:00:00,41.3993,33.2328,,,9.3,81.51,,,,151.309,58.51,,14.3137,,20.1459,19.17,,70.5326,74.885,28.9874,,,,,962.21,,,119.7,30.23,,,,0.378546,,,45.2056,,,17.0323,
2014-01-22 00:00:00,41.6655,33.1169,,,8.0,81.59,,,,151.394,57.51,,14.5317,,19.7454,19.03,,69.7887,74.2791,29.0202,,,,,950.95,,,119.19,30.0288,,,,0.378067,,,45.2136,,,17.1069,
2014-01-23 00:00:00,41.5235,33.2694,,,8.5,83.32,,,,150.179,56.63,,14.3215,,19.324,19.26,,68.8871,73.6267,28.8978,,,,,944.16,,,121.79,30.1383,,,,0.376588,,,44.8421,,,17.2513,
2014-01-24 00:00:00,40.8623,32.3621,,,7.5,79.5,,,,146.944,54.45,,14.217,,19.0999,19.16,,67.0847,71.6753,27.9945,,,,,916.55,,,122.29,30.7652,,,,0.366914,,,44.0079,,,16.9382,
2014-01-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,961.05,,,,,,,,,,,,,,,
2014-01-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1007.0,,,,,,,,,,,,,,,
2014-01-27 00:00:00,40.4984,31.8194,,,7.0,78.23,,,,146.227,53.55,,13.8764,,19.4316,18.89,,71.0711,72.0596,27.4316,,,,,943.54,,,120.96,30.1136,,,,0.364567,,,44.0159,,,17.0755,
2014-01-28 00:00:00,41.5235,32.3533,,,7.7,81.56,,,,147.098,55.14,,13.8853,,19.1955,18.85,,71.9885,72.5462,27.9735,,,,,932.68,,,120.95,30.315,,,,0.368113,,,44.0971,,,15.7114,
2014-01-29 00:00:00,41.5856,32.2384,,,7.9,79.99,,,,145.72,53.53,,13.7619,,19.055,19.02,,70.5502,71.99,27.5731,,,,,925.67,,,122.47,30.6391,,,,0.364567,,,43.8356,,,15.5326,
2014-01-30 00:00:00,41.7365,32.6157,,,7.8,81.6,,,,147.25,61.08,,13.8675,,19.2045,18.49,,72.5597,72.5383,28.2825,,,,,941.39,,,119.77,30.8083,,,,0.370677,,,43.3175,,,15.5022,
