,NVDA,MSFT,GOOGL,META,AAPL,TSM,ORCL,LLY,CAT,DE,URI,CL,COST,UBER,ENPH,SMR,CCJ,NNE,OKLO,RHM.DE,HAG.DE,HO.PA,LDO.MI,HDMG.DE,BTC-USD,ETH-USD,SOL-USD,GLD,SLV,RKLB,LUNR,ASTS,RGTI,QBTS,IONQ,VKTX,BEAM,CATX,SOUN,AMPX,JMIA,TCEHY,NURO,BDMD
2024-04-07 22:00:00,,,,,,,,,,,,,,,,,,,,534195.0,529608.0,236983.0,3626687.0,,,,,,,,,,,,,,,,,,,,,
2024-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,37261432669.0,19055143129.0,2744377905.0,,,,,,,,,,,,,,,,,
2024-04-08 04:00:00,283220000.0,14272400.0,20702000.0,13260600.0,37425500.0,16307400.0,6119200.0,1664200.0,2690000.0,1269800.0,414300.0,3086900.0,1459000.0,22867600.0,2624200.0,6877300.0,4162000.0,,6920400.0,,,,,,,,,10331400.0,40708900.0,6365100.0,6150600.0,2012100.0,4445400.0,3524200.0,12103400.0,2288100.0,850400.0,161280.0,34777400.0,1057500.0,2264900.0,2806900.0,,
2024-04-08 22:00:00,,,,,,,,,,,,,,,,,,,,1949148.0,1777993.0,484520.0,13950664.0,,,,,,,,,,,,,,,,,,,,,
2024-04-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,36426900409.0,18279773833.0,2688188866.0,,,,,,,,,,,,,,,,,
2024-04-09 04:00:00,501700000.0,12496900.0,31079500.0,10863800.0,42373800.0,18443400.0,5564100.0,2464100.0,2042700.0,1114500.0,380400.0,3176300.0,1386400.0,13756300.0,3444800.0,3986900.0,3425300.0,,3685900.0,,,,,,,,,13069900.0,40950600.0,5229600.0,2812300.0,1349400.0,2452500.0,2050700.0,5140200.0,2578900.0,776300.0,262750.0,22758900.0,1143000.0,2444400.0,1755800.0,,
2024-04-09 22:00:00,,,,,,,,,,,,,,,,,,,,672994.0,645765.0,235084.0,7921802.0,,,,,,,,,,,,,,,,,,,,,
2024-04-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,38318601774.0,16872482726.0,3344074648.0,,,,,,,,,,,,,,,,,
2024-04-10 04:00:00,431929000.0,16216600.0,22838600.0,11418500.0,49709300.0,18861300.0,4509900.0,1700300.0,2148500.0,1407700.0,482700.0,4750300.0,1832000.0,12533900.0,5005500.0,3478900.0,4290900.0,,1760200.0,,,,,,,,,13317500.0,50614100.0,7771400.0,2800500.0,3501700.0,4409000.0,2682900.0,6775300.0,3110500.0,3284000.0,326450.0,34182100.0,1433600.0,1834500.0,2154800.0,,
2024-04-10 22:00:00,,,,,,,,,,,,,,,,,,,,368968.0,309665.0,184606.0,3336293.0,,,,,,,,,,,,,,,,,,,,,
2024-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,30153382941.0,14076734489.0,2712334365.0,,,,,,,,,,,,,,,,,
2024-04-11 04:00:00,431637000.0,17966400.0,27166400.0,10369500.0,91070300.0,11818800.0,7315200.0,1594800.0,2535700.0,1472900.0,585200.0,3908300.0,2107800.0,13653600.0,3180000.0,3073800.0,5881700.0,,1264800.0,,,,,,,,,11415200.0,28595200.0,7521100.0,3208100.0,2554000.0,5766700.0,4293900.0,4254500.0,1742900.0,1069200.0,4285430.0,25450500.0,982600.0,1349800.0,2922700.0,,
2024-04-11 22:00:00,,,,,,,,,,,,,,,,,,,,449855.0,346337.0,233162.0,4472021.0,,,,,,,,,,,,,,,,,,,,,
2024-04-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,44129299406.0,22104869556.0,4727185451.0,,,,,,,,,,,,,,,,,
2024-04-12 04:00:00,426805000.0,19253800.0,25353700.0,11984500.0,101670900.0,12024000.0,6196900.0,2495000.0,2072900.0,1886000.0,594500.0,5907600.0,1481800.0,11590800.0,2915400.0,2872700.0,8956400.0,,1369100.0,,,,,,,,,30898800.0,117678300.0,8803000.0,2010900.0,3180300.0,3459900.0,3060000.0,3625900.0,2729900.0,1299100.0,510460.0,18089200.0,450500.0,2211500.0,3522400.0,,
2024-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,52869738185.0,29930408174.0,8976793985.0,,,,,,,,,,,,,,,,,
2024-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,49084320047.0,25486284994.0,7110974218.0,,,,,,,,,,,,,,,,,
2024-04-14 22:00:00,,,,,,,,,,,,,,,,,,,,429000.0,381019.0,296385.0,4521586.0,,,,,,,,,,,,,,,,,,,,,
2024-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,43595917654.0,21925843181.0,5699439234.0,,,,,,,,,,,,,,,,,
2024-04-15 04:00:00,443077000.0,20273500.0,27136500.0,13512900.0,73531800.0,13458800.0,5101500.0,2358600.0,2171000.0,1353300.0,696700.0,4716200.0,1808000.0,16093400.0,2784300.0,4084500.0,4655000.0,,723200.0,,,,,,,,,13239000.0,51965100.0,15973800.0,2036500.0,2368500.0,4825200.0,2766300.0,6593600.0,2132900.0,2234300.0,688050.0,30120500.0,650600.0,3147500.0,2526500.0,,
2024-04-15 22:00:00,,,,,,,,,,,,,,,,,,,,403974.0,249304.0,225201.0,4596271.0,,,,,,,,,,,,,,,,,,,,,
2024-04-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,42847528078.0,19441391169.0,5156084639.0,,,,,,,,,,,,,,,,,
2024-04-16 04:00:00,370453000.0,16765600.0,20779500.0,9847900.0,73711200.0,14218200.0,7000000.0,2569800.0,2513900.0,1865400.0,585200.0,3220400.0,1412300.0,14513100.0,2932700.0,2869900.0,4572600.0,,445000.0,,,,,,,,,10746100.0,56256200.0,7231000.0,2818100.0,2569900.0,7033900.0,2904500.0,5415200.0,2095700.0,1676000.0,539800.0,23293400.0,569600.0,1685800.0,2418000.0,,
2024-04-16 22:00:00,,,,,,,,,,,,,,,,,,,,516390.0,328050.0,210832.0,3104046.0,,,,,,,,,,,,,,,,,,,,,
2024-04-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,41915247049.0,17711869375.0,4888546522.0,,,,,,,,,,,,,,,,,
2024-04-17 04:00:00,495400000.0,15855500.0,21763100.0,12193700.0,50901200.0,18823200.0,5366600.0,3069400.0,2313800.0,1442200.0,896000.0,3886200.0,1376700.0,15363100.0,3624400.0,1930300.0,2665900.0,,490600.0,,,,,,,,,11521100.0,46667300.0,4283900.0,1572600.0,1585700.0,5570100.0,2510100.0,4039000.0,1973600.0,1443200.0,208990.0,13615000.0,366400.0,1679000.0,1850100.0,,
2024-04-17 22:00:00,,,,,,,,,,,,,,,,,,,,791777.0,670510.0,292264.0,4210742.0,,,,,,,,,,,,,,,,,,,,,
